store_number,store_name,address,city,zip_code,store_location,county_number,county
2623,Hy-Vee Food Store #4 / Sioux City,2827 HAMILTON BLVD,SIOUX CITY,51104,POINT (-96.417783 42.519886),97,Woodbury
3707,Target Store T-1768 / Cedar Rapids,1030 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.649625 42.035157),57,Linn
2555,Hy-Vee Food Store / Keokuk,3111 MAIN,KEOKUK,52632,POINT (-91.403752 40.41538),56,Lee
3993,New Star Liquor / W 4th S / Waterloo,1625 WEST 4TH ST,WATERLOO,50701,,07,Black Hawk
4321,Fareway Stores #501 / Charles City,210  11TH ST,CHARLES CITY,50616,POINT (-92.674449 43.052712),34,Floyd
4473,Casey's General Store #92 / Panora,"113, NE 3RD ST",PANORA,50216,POINT (-94.361364 41.692351),39,Guthrie
2584,Hy-Vee Food Store / Fort Madison,2606 AVENUE L,FORT MADISON,52627,POINT (-91.343544 40.626988),56,Lee
3488,Bender's Foods,400 S SECOND,BELLEVUE,52031,POINT (-90.42292 42.255449),49,Jackson
3870,Target Store T-1939 / Altoona,3414 8TH ST SW,ALTOONA,50009,POINT (-93.503783 41.644024),77,Polk
2601,Hy-Vee Food Store / Fairfield,1300 WEST BURLINGTON AVE,FAIRFIELD,52556,POINT (-91.978702 41.006456),51,Jefferson
4072,Famous Liquors,2604 W LOCUST ST,DAVENPORT,52804,POINT (-90.615542 41.538186),82,Scott
2460,"Liquor Barn, Inc.",721 CENTRAL AVENUE WEST,HAMPTON,50441,POINT (-93.21693 42.741728),35,Franklin
3528,Super Target T-0804 Mason City,3450  4TH ST SW,MASON CITY,50401,POINT (-93.250371 43.148393),17,Cerro Gordo
2653,Hy-Vee Wine and Spirits / Washington,1004 W MADISON ST,WASHINGTON,52353,POINT (-91.704567 41.296576),92,Washington
2665,Hy-Vee / Waukee,1005 E HICKMAN RD,WAUKEE,50263,POINT (-93.854477 41.615059),25,Dallas
3819,Quillins Decorah,915 SHORT ST,DECORAH,52101,POINT (-91.79777100000001 43.291023),96,Winneshiek
4319,Fareway Stores #703 / Humbolt,710 FIRST AVE N,HUMBOLDT,50548,POINT (-94.218699 42.722165),46,Humboldt
2558,Hy-Vee Food Store / Mount Pleasant,1700 E WASHINGTON,MOUNT PLEASANT,52641,POINT (-91.52888 40.962331000000006),44,Henry
4734,Walgreens #04973 / Urbandale,7000 DOUGLAS AVE,URBANDALE,50322,POINT (-93.712815 41.629407),77,Polk
4378,Kum & Go #202 / 4th St Waukee,85  4TH ST,WAUKEE,50263,POINT (-93.882532 41.613918),25,Dallas
4684,Indy 66 #928 / Indianola,1201 N JEFFERSON,INDIANOLA,50125,,91,Warren
4112,Corridor Ventures,618 MEADE DR,NORTH LIBERTY,52317,POINT (-91.608725 41.752451),52,Johnson
4108,Oasis Grocery and Liquor /,2917 PAYNE,DES MOINES,50310,POINT (-93.658311 41.620075),77,Polk
4370,Kum & Go #240 / North Ave Norwalk,530 NORTH AVE,NORWALK,50211,POINT (-93.681862 41.475381),91,Warren
3950,Hometown Foods / State Center,120 E MAIN ST,STATE CENTER,50247,POINT (-93.162349 42.016845),48,Iowa
4713,Walgreens #10985 / Coralville,2751 HEARTLAND DR,CORALVILLE,52241,POINT (-91.60946 41.70051),52,Johnson
3651,Wal-Mart 1491 / Indianola,1500 NORTH JEFFERSON,INDIANOLA,50125,,91,Warren
3742,Wal-Mart 1625 / Lemars,1111 HOLTON DR,LEMARS,51031,POINT (-96.185499 42.780675),75,Plymouth
2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,POINT (-93.876107 42.063831),08,Boone
4021,Wal-Mart 0985 / Fairfield,2701 W BURLINGTON AVE,FAIRFIELD,52556,POINT (-91.993721 41.006375),51,Jefferson
4924,Abby Lea's,"2757, CHARLES CITY RD",NASHUA,50658,POINT (-92.547524 42.959023),19,Chickasaw
2621,Hy-Vee Food Store #3 / Sioux City,3301 GORDON DR,SIOUX CITY,51105,POINT (-96.364108 42.487752),97,Woodbury
4456,Kum & Go #53 / Iowa City,955 MORMAN TREK BLVD,IOWA CITY,52246,POINT (-91.574075 41.649946),52,Johnson
3859,Wal-Mart 0750 / Independence,302 ENTERPRISE DR SW,INDEPENDENCE,50644,POINT (-91.892924 42.450709),10,Buchanan
4258,Fareway Stores #009 / Burlington,920 LAWRENCE DR,BURLINGTON,52601,POINT (-91.140051 40.799097),29,Des Moines
3776,Wal-Mart 5115 / Davenport,3101 WEST KIMBERLY RD,DAVENPORT,52806,POINT (-90.620069 41.559268),82,Scott
3621,"Jensen Liquors, Ltd.",615  2ND AVE,SHELDON,51201,POINT (-95.854899 43.184242),71,O'Brien
3514,Karen's Spirits and Wine,328  2ND AVE S,FORT DODGE,50501,POINT (-94.192501 42.502311),94,Webster
3536,Geno's Liquor,111 S COMMERCIAL AVE,EAGLE GROVE,50533,POINT (-93.904495 42.663626),99,Wright
3584,L and M Beverage,1011 S FREDERICK M/A PO BX 572,OELWEIN,50662,,33,Fayette
4604,Pit Stop Liquors / Newton,"1324, 1st AVE E",NEWTON,50208,POINT (-93.035654 41.699173),50,Jasper
